id	daddy	nivel	name	arco
P11339	1	2	04:Leche y productos lacteos  huevos de ave  miel natural  productos comestibles de origen animal, no expresados ni comprendidos en otra part	M45.365828694516075,-98.00990555479493A108,108,0,0,1,46.39598006224852,-97.52647350367712L23.19799003112426,-48.76323675183856A54,54,0,0,0,22.682914347258038,-49.00495277739746Z
P11340	1	2	04:Leche y productos lacteos  huevos de ave  miel natural  productos comestibles de origen animal, no expresados ni comprendidos en otra part	M46.39598006224852,-97.52647350367712A108,108,0,0,1,46.68936794518209,-97.38635900822766L23.344683972591046,-48.69317950411383A54,54,0,0,0,23.19799003112426,-48.76323675183856Z
P11341	1	2	04:Leche y productos lacteos  huevos de ave  miel natural  productos comestibles de origen animal, no expresados ni comprendidos en otra part	M46.68936794518209,-97.38635900822766A108,108,0,0,1,47.05550745192767,-97.20997489168269L23.527753725963834,-48.604987445841346A54,54,0,0,0,23.344683972591046,-48.69317950411383Z
P11342	1	2	04:Leche y productos lacteos  huevos de ave  miel natural  productos comestibles de origen animal, no expresados ni comprendidos en otra part	M47.05550745192767,-97.20997489168269A108,108,0,0,1,47.63994253206154,-96.92489811984264L23.81997126603077,-48.46244905992132A54,54,0,0,0,23.527753725963834,-48.604987445841346Z
P11343	1	2	04:Leche y productos lacteos  huevos de ave  miel natural  productos comestibles de origen animal, no expresados ni comprendidos en otra part	M47.63994253206154,-96.92489811984264A108,108,0,0,1,48.876106593372434,-96.30745663900224L24.438053296686217,-48.15372831950112A54,54,0,0,0,23.81997126603077,-48.46244905992132Z
P11344	1	2	0:N/A	M48.876106593372434,-96.30745663900224A108,108,0,0,1,49.238170649959784,-96.12285134683344L24.619085324979892,-48.06142567341672A54,54,0,0,0,24.438053296686217,-48.15372831950112Z
P11345	1	2	04:Leche y productos lacteos  huevos de ave  miel natural  productos comestibles de origen animal, no expresados ni comprendidos en otra part	M49.238170649959784,-96.12285134683344A108,108,0,0,1,50.17626133051737,-95.63651394154655L25.088130665258685,-47.81825697077328A54,54,0,0,0,24.619085324979892,-48.06142567341672Z
P11346	1	2	04:Leche y productos lacteos  huevos de ave  miel natural  productos comestibles de origen animal, no expresados ni comprendidos en otra part	M50.17626133051737,-95.63651394154655A108,108,0,0,1,50.966282394295185,-95.21784527547847L25.483141197147592,-47.608922637739234A54,54,0,0,0,25.088130665258685,-47.81825697077328Z
P11347	1	2	0:N/A	M50.966282394295185,-95.21784527547847A108,108,0,0,1,51.10954888072989,-95.14102171623071L25.554774440364945,-47.570510858115355A54,54,0,0,0,25.483141197147592,-47.608922637739234Z
P11348	1	2	0:N/A	M51.10954888072989,-95.14102171623071A108,108,0,0,1,51.32423138590056,-95.02538225467205L25.66211569295028,-47.512691127336026A54,54,0,0,0,25.554774440364945,-47.570510858115355Z
